Depth1,Depth2,Max,Min,Draw,Max_point_avg,Min_point_avg
0,0,23,21,6,8.12,7.88
0,1,0,50,0,1.22,14.78
0,2,0,50,0,1.1,14.9
0,3,0,50,0,0.92,15.08
1,0,49,1,0,15.2,0.8
1,1,27,16,7,8.46,7.54
1,2,1,42,7,4.82,11.18
1,3,0,50,0,3.8,12.2
2,0,50,0,0,15.68,0.32
2,1,46,2,2,12.64,3.36
2,2,15,25,10,7.76,8.24
2,3,13,27,10,6.9,9.1
3,0,50,0,0,15.4,0.6
3,1,48,2,0,13.08,2.92
3,2,35,13,2,9.62,6.38
3,3,25,21,4,8.54,7.46
