Beta,Starting point,Iterations
0.41,100,45
0.42,-100,52
0.42,-95,52
0.42,-90,52
0.42,-85,51
0.42,-80,51
0.42,-75,51
0.42,-70,51
0.42,-65,51
0.42,-60,51
0.42,-55,50
0.42,-50,50
0.42,-45,50
0.42,-40,49
0.42,-35,49
0.42,-30,49
0.42,-25,48
0.42,-20,48
0.42,-15,47
0.42,-10,46
0.42,-5,44
0.42,0,39
0.42,5,44
0.42,10,46
0.42,15,47
0.42,20,48
0.42,25,48
0.42,30,49
0.42,35,49
0.42,40,50
0.42,45,50
0.42,50,50
0.42,55,50
0.42,60,51
0.42,65,51
0.42,70,51
0.42,75,51
0.42,80,51
0.42,85,51
0.42,90,52
0.42,95,52
0.42,100,52
0.43,-100,61
0.43,-95,61
0.43,-90,60
0.43,-85,60
0.43,-80,60
0.43,-75,60
0.43,-70,60
0.43,-65,59
0.43,-60,59
0.43,-55,59
0.43,-50,59
0.43,-45,58
0.43,-40,58
0.43,-35,58
0.43,-30,57
0.43,-25,56
0.43,-20,56
0.43,-15,55
0.43,-10,54
0.43,-5,51
0.43,0,46
0.43,5,52
0.43,10,54
0.43,15,55
0.43,20,56
0.43,25,57
0.43,30,57
0.43,35,58
0.43,40,58
0.43,45,58
0.43,50,59
0.43,55,59
0.43,60,59
0.43,65,60
0.43,70,60
0.43,75,60
0.43,80,60
0.43,85,60
0.43,90,60
0.43,95,61
0.43,100,61
0.44,-100,73
0.44,-95,72
0.44,-90,72
0.44,-85,72
0.44,-80,72
0.44,-75,72
0.44,-70,71
0.44,-65,71
0.44,-60,71
0.44,-55,70
0.44,-50,70
0.44,-45,70
0.44,-40,69
0.44,-35,69
0.44,-30,68
0.44,-25,68
0.44,-20,67
0.44,-15,66
0.44,-10,64
0.44,-5,61
0.44,0,55
0.44,5,62
0.44,10,65
0.44,15,66
0.44,20,67
0.44,25,68
0.44,30,68
0.44,35,69
0.44,40,69
0.44,45,70
0.44,50,70
0.44,55,71
0.44,60,71
0.44,65,71
0.44,70,71
0.44,75,72
0.44,80,72
0.44,85,72
0.44,90,72
0.44,95,73
0.44,100,73
0.45,-100,89
0.45,-95,89
0.45,-90,89
0.45,-85,88
0.45,-80,88
0.45,-75,88
0.45,-70,88
0.45,-65,87
0.45,-60,87
0.45,-55,87
0.45,-50,86
0.45,-45,86
0.45,-40,85
0.45,-35,84
0.45,-30,84
0.45,-25,83
0.45,-20,82
0.45,-15,81
0.45,-10,79
0.45,-5,75
0.45,0,67
0.45,5,76
0.45,10,79
0.45,15,81
0.45,20,82
0.45,25,83
0.45,30,84
0.45,35,85
0.45,40,85
0.45,45,86
0.45,50,86
0.45,55,87
0.45,60,87
0.45,65,87
0.45,70,88
0.45,75,88
0.45,80,88
0.45,85,89
0.45,90,89
0.45,95,89
0.45,100,89
0.46,-100,114
0.46,-95,114
0.46,-90,113
0.46,-85,113
0.46,-80,113
0.46,-75,112
0.46,-70,112
0.46,-65,112
0.46,-60,111
0.46,-55,111
0.46,-50,110
0.46,-45,109
0.46,-40,109
0.46,-35,108
0.46,-30,107
0.46,-25,106
0.46,-20,105
0.46,-15,103
0.46,-10,100
0.46,-5,96
0.46,0,86
0.46,5,98
0.46,10,101
0.46,15,104
0.46,20,105
0.46,25,106
0.46,30,107
0.46,35,108
0.46,40,109
0.46,45,110
0.46,50,110
0.46,55,111
0.46,60,111
0.46,65,112
0.46,70,112
0.46,75,113
0.46,80,113
0.46,85,113
0.46,90,114
0.46,95,114
0.46,100,114
0.47,-100,155
0.47,-95,155
0.47,-90,155
0.47,-85,154
0.47,-80,154
0.47,-75,153
0.47,-70,153
0.47,-65,152
0.47,-60,151
0.47,-55,151
0.47,-50,150
0.47,-45,149
0.47,-40,148
0.47,-35,147
0.47,-30,146
0.47,-25,144
0.47,-20,143
0.47,-15,140
0.47,-10,137
0.47,-5,131
0.47,0,117
0.47,5,133
0.47,10,138
0.47,15,141
0.47,20,143
0.47,25,145
0.47,30,146
0.47,35,147
0.47,40,148
0.47,45,149
0.47,50,150
0.47,55,151
0.47,60,152
0.47,65,152
0.47,70,153
0.47,75,153
0.47,80,154
0.47,85,154
0.47,90,155
0.47,95,155
0.47,100,156
